"","Site_code","Month","Year","ppt_pA","tmin_pA","tmax_pA","tavg_pA","vpdmin_pA","vpdmax_pA","Month","ppt_pM","tmin_pM","tmax_pM","tavg_pM","vpdmin_pM","vpdmax_pM","ppt_cA","tmin_cA","tmax_cA","tavg_cA","cmd_cA","ppt_cM","tmin_cM","tmax_cM","tavg_cM","cmd_cM"
"1715","DC 15",11,2021,1032.364624,9.6587,23.1110001,16.3848,3.9259,23.559,11,51.7561989,6.9482999,17.5345001,12.2413998,0.9384,9.6622,1102,7.5,28,16.9,952,77,7.4,19.7,13.6,0
"1716","DC 15",12,2021,1032.364624,9.6587,23.1110001,16.3848,3.9259,23.559,12,334.7420959,3.1181998,10.7988997,6.9584999,0.5167999,5.1903996,1102,7.5,28,16.9,952,353,3.1,11.9,7.5,0
"1717","DC 15",1,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,1,25.3710995,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,873,7.1,27.1,16.9,923,19,3.6,16.5,10,23
"1718","DC 15",2,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,2,1.378,3.1987,17.6190987,10.4088001,2.5039001,15.2247,873,7.1,27.1,16.9,923,6,3.9,18.7,11.3,51
"1719","DC 15",3,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,3,35.8227005,6.5109997,19.6156998,13.0633001,2.1027,15.6650991,873,7.1,27.1,16.9,923,74,6.3,20.2,13.3,14
"1720","DC 15",4,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,4,127.4403,6.599,19.6075001,13.1032,1.8849002,16.4484997,873,7.1,27.1,16.9,923,141,6.8,20,13.4,0
"1721","DC 15",5,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,5,5.3511,9.4225998,24.1197987,16.7710991,3.9040997,23.7640991,873,7.1,27.1,16.9,923,21,9.8,25.3,17.6,129
"1722","DC 15",6,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,6,22.8563995,15.1104994,29.9188995,22.5145988,7.0562997,34.5025978,873,7.1,27.1,16.9,923,29,15,30.6,22.8,147
"1723","DC 15",7,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,7,0,17.3885002,33.7589989,25.5737,9.2226992,43.3900986,873,7.1,27.1,16.9,923,1,18.1,34.8,26.5,199
"1724","DC 15",8,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,8,0,18.4744987,34.3848,26.4295998,9.7448988,43.9665985,873,7.1,27.1,16.9,923,3,18.5,35.6,27.1,182
"1725","DC 15",9,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,9,33.9931984,17.0686989,31.6819992,24.3752995,8.8866987,38.9993973,873,7.1,27.1,16.9,923,43,16.8,32,24.4,87
"1726","DC 15",10,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,10,0,12.3456993,27.1773987,19.7614994,6.2314997,28.1985989,873,7.1,27.1,16.9,923,1,12.2,27.9,20.1,91
"1727","DC 15",11,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,11,101.2253952,3.7805998,15.3018999,9.5411997,1.8725003,11.2487993,873,7.1,27.1,16.9,923,158,3.2,16,9.6,0
"1728","DC 15",12,2022,725.5774536,9.6892996,23.3257999,16.5074997,4.6009998,23.9568996,12,372.1394043,2.9503,11.2307997,7.0904999,0.378,5.1840997,873,7.1,27.1,16.9,923,377,2.5,11.7,7.1,0
"1729","DC 16",1,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,1,85.2149963,10.2450008,22.6400013,16.4420013,3.1990001,19.559,833,8.2,28.2,16.8,892,88,6.3,15.9,11.1,0
"1730","DC 16",2,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,2,55.8069992,4.598,15.0939999,9.8450003,1.102,8.4049997,833,8.2,28.2,16.8,892,64,3.9,15.6,9.8,0
"1731","DC 16",3,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,3,99.2979965,6.402,17.7269993,12.0630007,1.255,10.6120005,833,8.2,28.2,16.8,892,103,6.4,19,12.7,0
"1732","DC 16",4,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,4,153.2420044,6.2090001,15.6059999,10.9070005,0.882,8.2110004,833,8.2,28.2,16.8,892,152,5.3,15.6,10.5,0
"1733","DC 16",5,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,5,52.7019997,9.802,23.6940002,16.7480011,1.6390001,17.9659996,833,8.2,28.2,16.8,892,46,10.5,25.3,17.9,102
"1734","DC 16",6,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,6,0,14.3310003,30.6399994,22.4850006,3.757,30.316,833,8.2,28.2,16.8,892,1,14.8,32.1,23.4,187
"1735","DC 16",7,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,7,0,19.257,35.3510017,27.3030014,9.6529999,44.5499992,833,8.2,28.2,16.8,892,0,19,37.5,28.2,218
"1736","DC 16",8,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,8,39.2939987,16.5809994,31.4160004,23.9980011,5.1420002,32.9339981,833,8.2,28.2,16.8,892,13,16.1,32.8,24.5,158
"1737","DC 16",9,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,9,0.016,15.7620001,31.4449997,23.6030006,6.5799999,34.2519989,833,8.2,28.2,16.8,892,2,16,33.2,24.6,137
"1738","DC 16",10,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,10,2.2279999,12.9119997,27.8969994,20.4030018,6.605,28.1669998,833,8.2,28.2,16.8,892,7,12.1,29.1,20.6,90
"1739","DC 16",11,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,11,104.0699997,5.2880001,14.7489996,10.0180006,0.924,7.8390002,833,8.2,28.2,16.8,892,90,4.3,15.2,9.7,0
"1740","DC 16",12,2003,841.1810303,10.2450008,22.6400013,16.4420013,3.1990001,19.559,12,249.3099976,5.4619999,12.9420004,9.2010002,0.504,5.6570001,833,8.2,28.2,16.8,892,269,4.3,12.1,8.2,0
"1741","DC 16",1,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,1,93.3639984,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,787,7.5,26.4,16.8,1005,99,2.9,12.1,7.5,0
"1742","DC 16",2,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,2,191.802002,5.0619998,13.684,9.3720007,0.841,NA,787,7.5,26.4,16.8,1005,231,4.2,13.6,8.9,0
"1743","DC 16",3,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,3,36.7420006,9.0780001,21.8220005,15.4500008,2.684,NA,787,7.5,26.4,16.8,1005,33,8.9,23,15.9,62
"1744","DC 16",4,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,4,11.9379997,9.1230001,22.1590004,15.6410007,3.1589999,NA,787,7.5,26.4,16.8,1005,15,9.1,23,16,101
"1745","DC 16",5,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,5,7.5879998,10.4320002,25.1560001,17.7940006,2.615,NA,787,7.5,26.4,16.8,1005,10,10.7,26.5,18.6,146
"1746","DC 16",6,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,6,0,14.1499996,30.375,22.262001,4.1849999,NA,787,7.5,26.4,16.8,1005,1,14.5,31.7,23.1,185
"1747","DC 16",7,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,7,0,17.0310001,32.9970016,25.0140018,6.7119999,NA,787,7.5,26.4,16.8,1005,1,17.4,35.5,26.4,207
"1748","DC 16",8,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,8,0,16.5130005,32.5400009,24.526001,7.4369998,NA,787,7.5,26.4,16.8,1005,1,16.7,34.3,25.5,179
"1749","DC 16",9,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,9,7.9840002,15.0979996,30.0380001,22.5670013,8.8260002,NA,787,7.5,26.4,16.8,1005,7,14.2,31.2,22.7,125
"1750","DC 16",10,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,10,115.7679977,11.1120005,22.3290005,16.7200012,3.6099999,NA,787,7.5,26.4,16.8,1005,128,9.7,22.9,16.3,0
"1751","DC 16",11,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,11,83.6350021,5.7329998,16.0419998,10.8870001,0.953,NA,787,7.5,26.4,16.8,1005,72,5.3,17,11.1,0
"1752","DC 16",12,2004,725.8840332,10.0860004,22.7150002,16.4000015,3.5230002,20.2780018,12,177.0630035,3.9890001,13.7600002,8.8740005,0.74,NA,787,7.5,26.4,16.8,1005,189,4.3,14.1,9.2,0
"1753","DC 16",1,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,1,147.727005,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,1014,8.2,28.3,16.6,810,158,3.9,12.5,8.2,0
"1754","DC 16",2,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,2,82.0289993,6.842,15.8739996,11.3580008,0.934,7.5689998,1014,8.2,28.3,16.6,810,97,6.2,16.3,11.3,0
"1755","DC 16",3,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,3,180.9450073,7.513,18.2180004,12.8650007,1.36,11.3990002,1014,8.2,28.3,16.6,810,158,7.1,18.8,12.9,0
"1756","DC 16",4,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,4,42.8069992,6.9320002,18.6660004,12.7990007,1.175,11.9350004,1014,8.2,28.3,16.6,810,52,6.6,19.7,13.1,51
"1757","DC 16",5,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,5,109.5429993,11.0559998,22.6669998,16.8610001,1.216,15.1160002,1014,8.2,28.3,16.6,810,83,10.9,23.8,17.4,53
"1758","DC 16",6,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,6,29.0799999,11.9829998,26.0919991,19.0360012,1.688,22.5049992,1014,8.2,28.3,16.6,810,34,12.1,27.3,19.7,127
"1759","DC 16",7,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,7,0,19.0090008,35.243,27.1260014,6.1900001,40.9329987,1014,8.2,28.3,16.6,810,0,19.3,37.4,28.3,216
"1760","DC 16",8,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,8,0,18.2110004,34.2400017,26.2250004,9.1529999,41.9220009,1014,8.2,28.3,16.6,810,1,17.6,35.7,26.7,187
"1761","DC 16",9,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,9,5.448,13.1459999,28.3349991,20.7390003,4.8579998,28.4519997,1014,8.2,28.3,16.6,810,7,12.9,29.4,21.1,118
"1762","DC 16",10,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,10,25.7989998,11.4259996,23.7859993,17.6050014,3.757,19.1539993,1014,8.2,28.3,16.6,810,25,10,24.7,17.4,58
"1763","DC 16",11,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,11,79.1930008,7.9510002,18.8029995,13.3760004,1.853,12.5349998,1014,8.2,28.3,16.6,810,91,7,19.5,13.2,0
"1764","DC 16",12,2005,1096.6190186,10.2820005,22.210001,16.2450008,2.7400002,18.4020004,12,394.0480042,5.5139999,13.4469995,9.4800005,0.353,5.2150002,1014,8.2,28.3,16.6,810,308,5.1,13.7,9.4,0
"1765","DC 16",1,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,1,166.9700012,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,933,7.9,28.4,16.4,922,137,4.2,12.8,8.5,0
"1766","DC 16",2,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,2,98.0979996,4.605,16.3320007,10.4680004,1.154,11.059,933,7.9,28.4,16.4,922,121,4.6,17.2,10.9,0
"1767","DC 16",3,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,3,267.894989,4.0910001,12.3739996,8.2320004,0.604,6.585,933,7.9,28.4,16.4,922,248,3.6,12.2,7.9,0
"1768","DC 16",4,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,4,191.2779999,8.1599998,17.3369999,12.7480001,0.621,8.8879995,933,7.9,28.4,16.4,922,178,7.9,18,12.9,0
"1769","DC 16",5,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,5,22.7870007,11.7139997,26.118,18.9150009,2.082,22.7339993,933,7.9,28.4,16.4,922,24,12,27.2,19.6,133
"1770","DC 16",6,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,6,0,15.8760004,31.2700005,23.5730019,4.7290001,32.8209991,933,7.9,28.4,16.4,922,1,15.9,32.7,24.3,188
"1771","DC 16",7,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,7,0,19.6830006,35.4650002,27.5740013,10.1490002,45.3330002,933,7.9,28.4,16.4,922,0,19.5,37.4,28.4,215
"1772","DC 16",8,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,8,0,15.7639999,31.9090004,23.8360004,6.6799998,35.769001,933,7.9,28.4,16.4,922,1,16.1,34,25,179
"1773","DC 16",9,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,9,0,14.7419996,30.1240005,22.4320011,7.8379998,32.7360001,933,7.9,28.4,16.4,922,1,14.3,31.2,22.8,130
"1774","DC 16",10,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,10,4.8280001,9.8249998,23.2509995,16.5370007,3.9649999,19.7889996,933,7.9,28.4,16.4,922,6,9.3,24.3,16.8,77
"1775","DC 16",11,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,11,85.6159973,6.9590001,16.2420006,11.6000004,0.629,7.559,933,7.9,28.4,16.4,922,81,6.3,16.9,11.6,0
"1776","DC 16",12,2006,981.5140381,10.0690002,22.2800007,16.1740017,3.3150001,19.7720013,12,144.0429993,3.977,13.2440004,8.6100006,0.96,7.6490002,933,7.9,28.4,16.4,922,135,3.6,13.3,8.4,0
"1777","DC 16",1,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,1,11.3850002,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,609,6.8,26.5,16.7,992,15,1.4,14.4,7.9,24
"1778","DC 16",2,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,2,228.1970062,5.4530001,14.4259996,9.9390001,0.896,7.737,609,6.8,26.5,16.7,992,243,5.1,14.9,10,0
"1779","DC 16",3,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,3,22.6809998,7.7150002,20.4519997,14.0830011,1.878,14.6120005,609,6.8,26.5,16.7,992,21,7.8,22.1,14.9,73
"1780","DC 16",4,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,4,67.776001,7.7849998,20.7180004,14.2510004,1.8049999,15.2489996,609,6.8,26.5,16.7,992,61,7.9,22,14.9,52
"1781","DC 16",5,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,5,21.441,10.8030005,26.3290005,18.566,2.9100001,24.7280006,609,6.8,26.5,16.7,992,21,11.6,27.5,19.6,139
"1782","DC 16",6,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,6,2.211,13.8059998,30.0799999,21.9420013,4.4629998,32.7879982,609,6.8,26.5,16.7,992,6,14.3,31.4,22.8,178
"1783","DC 16",7,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,7,0.104,16.493,33.0180016,24.7550011,6.1350002,38.2410011,609,6.8,26.5,16.7,992,1,17.7,35.3,26.5,204
"1784","DC 16",8,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,8,0,16.7220001,33.0439987,24.8820019,8.2869997,39.4799995,609,6.8,26.5,16.7,992,1,17.1,34.7,25.9,181
"1785","DC 16",9,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,9,17.0769997,13.4849997,27.3799992,20.4310017,4.4959998,26.2059994,609,6.8,26.5,16.7,992,15,13.1,28.6,20.9,104
"1786","DC 16",10,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,10,60.7000008,10.3620005,21.4629993,15.9120007,2.3540001,15.2049999,609,6.8,26.5,16.7,992,66,9.4,22.2,15.8,8
"1787","DC 16",11,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,11,33.7519989,7.5819998,19.9759998,13.7780008,2.1630001,14.2340002,609,6.8,26.5,16.7,992,23,7.2,21,14.1,29
"1788","DC 16",12,2007,631.5800171,9.4790001,22.6800003,16.0790005,3.1240001,20.4060001,12,166.2559967,2.586,11.5050001,7.0450006,0.654,6.2309999,609,6.8,26.5,16.7,992,136,2.2,11.4,6.8,0
"1789","DC 16",1,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,1,234.477005,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,643,6.5,27,16.8,1065,244,2.4,10.6,6.5,0
"1790","DC 16",2,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,2,112.9810028,4.3610001,14.3940001,9.3770008,1.168,8.7770004,643,6.5,27,16.8,1065,127,4,15.2,9.6,0
"1791","DC 16",3,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,3,18.5340004,6.0159998,18.3379993,12.1760006,1.895,13.4090004,643,6.5,27,16.8,1065,24,5.7,19,12.3,59
"1792","DC 16",4,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,4,6.9330001,5.9289999,20.6499996,13.2890005,2.6719999,18.2339993,643,6.5,27,16.8,1065,8,6.4,21.2,13.8,104
"1793","DC 16",5,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,5,3.651,11.2550001,25.5610008,18.4080009,4.1960001,23.8600006,643,6.5,27,16.8,1065,7,11.8,26.9,19.4,149
"1794","DC 16",6,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,6,0,14.2309999,30.6259995,22.427002,6.4050002,34.3230019,643,6.5,27,16.8,1065,1,14.9,32.1,23.5,187
"1795","DC 16",7,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,7,0,17.0160007,33.5550003,25.2850018,6.9850001,39.3510017,643,6.5,27,16.8,1065,0,18.1,35.9,27,208
"1796","DC 16",8,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,8,0,17.823,33.9679985,25.894001,9.2919998,41.3479996,643,6.5,27,16.8,1065,1,17.7,35.2,26.5,182
"1797","DC 16",9,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,9,0,15.3199997,31.0990009,23.2090015,9.1359997,36.0149994,643,6.5,27,16.8,1065,1,15.3,32.7,24,137
"1798","DC 16",10,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,10,40.4980011,11.9420004,25.4160004,18.6790009,5.8189998,24.243,643,6.5,27,16.8,1065,48,10.9,26,18.5,39
"1799","DC 16",11,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,11,79.447998,8.5279999,18.7000008,13.6130009,1.109,10.5790005,643,6.5,27,16.8,1065,70,8.1,19.9,14,0
"1800","DC 16",12,2008,610.4200439,9.7540007,22.8440018,16.2980003,4.1260004,21.7930012,12,113.8980026,2.0009999,11.1709995,6.5850005,0.324,5.6409998,643,6.5,27,16.8,1065,111,2,11.8,6.9,0
"1801","DC 16",1,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,1,57.9589996,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,802,7.1,27,16.6,834,73,4.1,16.1,10.1,0
"1802","DC 16",2,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,2,175.5330048,5.3920002,13.9429998,9.6670008,1.1,8.0170002,802,7.1,27,16.6,834,236,4.3,14,9.2,0
"1803","DC 16",3,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,3,111.6539993,5.5770001,16.8470001,11.2120008,1.66,11.4169998,802,7.1,27,16.6,834,122,5.2,17.3,11.2,0
"1804","DC 16",4,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,4,15.0690002,6.881,20.3670006,13.6240005,2.8099999,17.1509991,802,7.1,27,16.6,834,35,7.1,21,14,74
"1805","DC 16",5,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,5,80.6090012,12.2550001,26.4470005,19.3510017,2.7320001,23.1130009,802,7.1,27,16.6,834,75,13.2,27.8,20.5,83
"1806","DC 16",6,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,6,19.6809998,13.3109999,27.8519993,20.5800018,3.0650001,26.0750008,802,7.1,27,16.6,834,14,14,29.4,21.7,156
"1807","DC 16",7,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,7,0,17.1310005,34.0079994,25.5690022,8.007,41.5569992,802,7.1,27,16.6,834,0,18,36,27,209
"1808","DC 16",8,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,8,0,16.7460003,32.4140015,24.5800018,7.368,37.3289986,802,7.1,27,16.6,834,1,17,33.9,25.5,175
"1809","DC 16",9,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,9,3.711,16.7150002,31.5149994,24.1140003,8.9300003,35.8779984,802,7.1,27,16.6,834,6,16.3,33.1,24.7,131
"1810","DC 16",10,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,10,64.5749969,10.0939999,21.7189999,15.9060011,3.118,15.9130001,802,7.1,27,16.6,834,87,9.6,22.6,16.1,0
"1811","DC 16",11,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,11,44.7200012,6.5549998,17.6270008,12.0900002,1.368,11.5,802,7.1,27,16.6,834,40,6,18.7,12.3,6
"1812","DC 16",12,2009,688.1600342,9.7930002,22.4490013,16.1210003,3.5150001,20.3100014,12,114.6490021,2.96,11.7110004,7.3350005,0.666,5.8449998,802,7.1,27,16.6,834,112,2.6,11.7,7.1,0
"1813","DC 16",1,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,1,215.5529938,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,1160,8.5,26.6,15.8,745,208,4.9,12.5,8.7,0
"1814","DC 16",2,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,2,92.1289978,6.4330001,14.6689997,10.5500002,0.611,6.6570001,1160,8.5,26.6,15.8,745,122,5.7,14.6,10.1,0
"1815","DC 16",3,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,3,80.5999985,5.8189998,16.8299999,11.3240004,1.3789999,11.0979996,1160,8.5,26.6,15.8,745,88,5.5,17.3,11.4,0
"1816","DC 16",4,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,4,177.522995,6.2179999,16.3180008,11.2670002,0.916,9.9519997,1160,8.5,26.6,15.8,745,154,6,16.9,11.4,0
"1817","DC 16",5,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,5,56.2410011,7.9990001,20.4810009,14.2400007,1.7,15.2419996,1160,8.5,26.6,15.8,745,53,8.1,21.5,14.8,76
"1818","DC 16",6,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,6,0.557,14.2620001,28.3959999,21.3290005,3.3429999,26.2210007,1160,8.5,26.6,15.8,745,4,14.5,29.5,22,165
"1819","DC 16",7,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,7,0,16.5109997,33.2070007,24.8580017,4.9910002,36.8269997,1160,8.5,26.6,15.8,745,0,17.9,35.4,26.6,205
"1820","DC 16",8,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,8,0.382,15.4359999,31.4680004,23.4510002,6.2820001,35.3110008,1160,8.5,26.6,15.8,745,1,15.6,32.7,24.2,171
"1821","DC 16",9,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,9,0,15.3240004,29.9260006,22.6250019,7.4060001,31.6110001,1160,8.5,26.6,15.8,745,2,14.6,31,22.8,128
"1822","DC 16",10,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,10,135.2409973,12.8859997,23.6369991,18.2600002,3.9779999,18.7380009,1160,8.5,26.6,15.8,745,116,11.6,24,17.8,0
"1823","DC 16",11,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,11,147.7819977,6.6459999,16.4669991,11.5550003,1.441,10.335,1160,8.5,26.6,15.8,745,132,5.5,17,11.2,0
"1824","DC 16",12,2010,1223.2930908,9.9560003,21.4100018,15.6820011,2.7650001,17.6870003,12,317.2860107,6.428,13.2189999,9.8230009,0.358,4.849,1160,8.5,26.6,15.8,745,280,5,12,8.5,0
"1825","DC 16",1,2011,816.0690308,9.3780003,21.4170017,15.3970003,2.6430001,17.7770004,1,54.243,9.3780003,21.4170017,15.3970003,2.6430001,17.7770004,1122,8.5,25.2,15.7,661,92,3.6,14,8.8,0
"1826","DC 16",2,2011,816.0690308,9.3780003,21.4170017,15.3970003,2.6430001,17.7770004,2,167.5180054,3.529,14.0360003,8.7820005,1.619,9.776,1122,8.5,25.2,15.7,661,215,3,14,8.5,0
"1827","DC 16",3,2011,816.0690308,9.3780003,21.4170017,15.3970003,2.6430001,17.7770004,3,328.1419983,6.2309999,13.9139996,10.0720005,0.739,7.1630001,1122,8.5,25.2,15.7,661,343,5.6,14.2,9.9,0
"1828","DC 16",4,2011,816.0690308,9.3780003,21.4170017,15.3970003,2.6430001,17.7770004,4,31.0419998,6.6989999,18.6369991,12.6670008,1.238,12.2209997,1122,8.5,25.2,15.7,661,64,6.9,18.7,12.8,33
"1829","DC 16",5,2011,816.0690308,9.3780003,21.4170017,15.3970003,2.6430001,17.7770004,5,61.4959984,8.3929996,20.8670006,14.6290007,1.98,16.0130005,1122,8.5,25.2,15.7,661,86,8.4,21.7,15.1,43
"1830","DC 16",6,2011,816.0690308,9.3780003,21.4170017,15.3970003,2.6430001,17.7770004,6,48.6640015,13.1140003,26.3220005,19.7180004,2.6159999,22.5450001,1122,8.5,25.2,15.7,661,62,13.2,27.2,20.2,94
"1831","DC 16",7,2011,816.0690308,9.3780003,21.4170017,15.3970003,2.6430001,17.7770004,7,0,16.5349998,31.5009995,24.0170002,4.704,32.1209984,1122,8.5,25.2,15.7,661,0,17.1,33.2,25.1,190
"1832","DC 16",8,2011,816.0690308,9.3780003,21.4170017,15.3970003,2.6430001,17.7770004,8,0,16.6580009,32.6980019,24.6780014,5.619,35.9259987,1122,8.5,25.2,15.7,661,1,16.5,33.8,25.2,176
